input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.5,0.2,None,44072.0,25.704
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.6,0.2,None,40275.0,26.636
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.7,0.2,None,39140.0,26.195
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.8,0.2,None,36468.0,26.436
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.9,0.2,None,33041.0,26.899
brazil58,Standard ACO,5,2000,1_over_distance,0.5,1.0,0.2,None,33056.0,26.086
brazil58,Standard ACO,5,2000,1_over_distance,0.5,1.5,0.2,None,29313.0,26.664
brazil58,Standard ACO,5,2000,1_over_distance,0.5,2.0,0.2,None,26507.0,28.469
brazil58,Standard ACO,5,2000,1_over_distance,0.5,2.5,0.2,None,27170.0,26.86
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.5,0.2,None,42543.0,26.545
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.6,0.2,None,38279.0,26.82
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.7,0.2,None,35065.0,26.734
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.8,0.2,None,32325.0,30.331
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.9,0.2,None,32613.0,29.624
brazil58,Standard ACO,5,2000,1_over_distance,0.6,1.0,0.2,None,30817.0,29.796
brazil58,Standard ACO,5,2000,1_over_distance,0.6,1.5,0.2,None,28990.0,29.653
brazil58,Standard ACO,5,2000,1_over_distance,0.6,2.0,0.2,None,27435.0,31.506
brazil58,Standard ACO,5,2000,1_over_distance,0.6,2.5,0.2,None,27134.0,29.697
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.5,0.2,None,38501.0,29.891
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.6,0.2,None,36886.0,29.744
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.7,0.2,None,33763.0,28.496
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.8,0.2,None,33988.0,26.71
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.9,0.2,None,32140.0,26.738
brazil58,Standard ACO,5,2000,1_over_distance,0.7,1.0,0.2,None,31096.0,26.442
brazil58,Standard ACO,5,2000,1_over_distance,0.7,1.5,0.2,None,28374.0,27.084
brazil58,Standard ACO,5,2000,1_over_distance,0.7,2.0,0.2,None,27016.0,27.665
brazil58,Standard ACO,5,2000,1_over_distance,0.7,2.5,0.2,None,26775.0,27.595
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.5,0.2,None,37028.0,26.885
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.6,0.2,None,35190.0,26.994
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.7,0.2,None,34003.0,27.331
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.8,0.2,None,31699.0,26.63
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.9,0.2,None,29794.0,26.62
brazil58,Standard ACO,5,2000,1_over_distance,0.8,1.0,0.2,None,28563.0,26.456
brazil58,Standard ACO,5,2000,1_over_distance,0.8,1.5,0.2,None,27640.0,28.0
brazil58,Standard ACO,5,2000,1_over_distance,0.8,2.0,0.2,None,27169.0,26.84
brazil58,Standard ACO,5,2000,1_over_distance,0.8,2.5,0.2,None,27888.0,26.55
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.5,0.2,None,33567.0,26.677
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.6,0.2,None,29762.0,26.744
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.7,0.2,None,27506.0,27.17
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.8,0.2,None,29412.0,26.763
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.9,0.2,None,28607.0,26.525
brazil58,Standard ACO,5,2000,1_over_distance,0.9,1.0,0.2,None,28702.0,26.52
brazil58,Standard ACO,5,2000,1_over_distance,0.9,1.5,0.2,None,25897.0,27.477
brazil58,Standard ACO,5,2000,1_over_distance,0.9,2.0,0.2,None,28995.0,27.59
brazil58,Standard ACO,5,2000,1_over_distance,0.9,2.5,0.2,None,27328.0,27.415
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.5,0.2,None,32015.0,24.959
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.6,0.2,None,30412.0,25.569
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.7,0.2,None,29194.0,25.321
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.8,0.2,None,27763.0,24.889
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.9,0.2,None,29823.0,24.812
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.0,0.2,None,31535.0,24.238
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.5,0.2,None,28391.0,24.683
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.0,0.2,None,26713.0,24.952
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.5,0.2,None,28249.0,24.812
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.5,0.2,None,45605.0,25.957
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.6,0.2,None,43048.0,25.554
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.7,0.2,None,37941.0,25.833
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.8,0.2,None,31890.0,26.022
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.9,0.2,None,35357.0,25.565
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.0,0.2,None,36479.0,25.411
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.5,0.2,None,28847.0,25.582
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.0,0.2,None,31279.0,25.822
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.5,0.2,None,28665.0,25.374
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.5,0.2,None,50239.0,26.586
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.6,0.2,None,36254.0,26.439
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.7,0.2,None,42595.0,26.112
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.8,0.2,None,34287.0,26.618
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.9,0.2,None,35673.0,26.269
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.0,0.2,None,37799.0,26.04
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.5,0.2,None,37229.0,26.262
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.0,0.2,None,31317.0,26.524
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.5,0.2,None,30598.0,26.572
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.5,0.2,None,44066.0,26.724
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.6,0.2,None,52761.0,26.649
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.7,0.2,None,42727.0,26.714
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.8,0.2,None,43823.0,27.211
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.9,0.2,None,46139.0,27.025
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.0,0.2,None,41209.0,26.743
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.5,0.2,None,33044.0,26.633
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.0,0.2,None,32528.0,26.929
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.5,0.2,None,32205.0,26.643
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.5,0.3,None,44038.0,25.729
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.6,0.3,None,38397.0,25.775
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.7,0.3,None,37547.0,25.774
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.8,0.3,None,35023.0,26.055
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.9,0.3,None,34118.0,25.778
brazil58,Standard ACO,5,2000,1_over_distance,0.5,1.0,0.3,None,32204.0,25.447
brazil58,Standard ACO,5,2000,1_over_distance,0.5,1.5,0.3,None,28087.0,25.33
brazil58,Standard ACO,5,2000,1_over_distance,0.5,2.0,0.3,None,27675.0,25.256
brazil58,Standard ACO,5,2000,1_over_distance,0.5,2.5,0.3,None,26830.0,26.056
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.5,0.3,None,40957.0,25.511
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.6,0.3,None,38180.0,25.363
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.7,0.3,None,36719.0,25.332
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.8,0.3,None,35347.0,25.794
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.9,0.3,None,33314.0,25.824
brazil58,Standard ACO,5,2000,1_over_distance,0.6,1.0,0.3,None,31583.0,25.511
brazil58,Standard ACO,5,2000,1_over_distance,0.6,1.5,0.3,None,27926.0,25.39
brazil58,Standard ACO,5,2000,1_over_distance,0.6,2.0,0.3,None,28088.0,25.53
brazil58,Standard ACO,5,2000,1_over_distance,0.6,2.5,0.3,None,27149.0,25.688
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.5,0.3,None,40706.0,25.607
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.6,0.3,None,35665.0,25.702
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.7,0.3,None,35526.0,25.671
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.8,0.3,None,33538.0,25.583
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.9,0.3,None,30549.0,26.764
brazil58,Standard ACO,5,2000,1_over_distance,0.7,1.0,0.3,None,29171.0,26.145
brazil58,Standard ACO,5,2000,1_over_distance,0.7,1.5,0.3,None,27752.0,25.749
brazil58,Standard ACO,5,2000,1_over_distance,0.7,2.0,0.3,None,27435.0,25.612
brazil58,Standard ACO,5,2000,1_over_distance,0.7,2.5,0.3,None,26643.0,25.536
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.5,0.3,None,33751.0,25.306
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.6,0.3,None,34905.0,25.623
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.7,0.3,None,32178.0,25.661
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.8,0.3,None,27555.0,25.575
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.9,0.3,None,27043.0,25.825
brazil58,Standard ACO,5,2000,1_over_distance,0.8,1.0,0.3,None,28506.0,25.557
brazil58,Standard ACO,5,2000,1_over_distance,0.8,1.5,0.3,None,28012.0,25.315
brazil58,Standard ACO,5,2000,1_over_distance,0.8,2.0,0.3,None,28877.0,25.155
brazil58,Standard ACO,5,2000,1_over_distance,0.8,2.5,0.3,None,28253.0,25.233
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.5,0.3,None,31925.0,28.285
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.6,0.3,None,28755.0,30.501
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.7,0.3,None,31359.0,28.211
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.8,0.3,None,29235.0,25.418
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.9,0.3,None,30684.0,25.541
brazil58,Standard ACO,5,2000,1_over_distance,0.9,1.0,0.3,None,29084.0,25.48
brazil58,Standard ACO,5,2000,1_over_distance,0.9,1.5,0.3,None,29770.0,25.927
brazil58,Standard ACO,5,2000,1_over_distance,0.9,2.0,0.3,None,30159.0,25.631
brazil58,Standard ACO,5,2000,1_over_distance,0.9,2.5,0.3,None,27524.0,25.595
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.5,0.3,None,35429.0,25.327
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.6,0.3,None,34134.0,24.923
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.7,0.3,None,33074.0,24.934
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.8,0.3,None,31738.0,24.809
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.9,0.3,None,30346.0,24.844
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.0,0.3,None,32313.0,24.685
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.5,0.3,None,29450.0,24.905
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.0,0.3,None,28777.0,24.887
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.5,0.3,None,28542.0,24.726
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.5,0.3,None,47695.0,26.822
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.6,0.3,None,42847.0,26.799
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.7,0.3,None,40542.0,26.793
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.8,0.3,None,37418.0,26.495
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.9,0.3,None,37263.0,26.543
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.0,0.3,None,36226.0,26.903
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.5,0.3,None,31728.0,26.663
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.0,0.3,None,29837.0,26.684
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.5,0.3,None,27634.0,26.573
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.5,0.3,None,52067.0,27.731
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.6,0.3,None,44193.0,27.413
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.7,0.3,None,47388.0,27.449
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.8,0.3,None,39403.0,27.023
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.9,0.3,None,44513.0,27.232
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.0,0.3,None,39675.0,27.341
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.5,0.3,None,29310.0,27.226
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.0,0.3,None,33933.0,27.36
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.5,0.3,None,31339.0,27.175
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.5,0.3,None,58242.0,37.975
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.6,0.3,None,54346.0,33.383
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.7,0.3,None,45566.0,27.156
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.8,0.3,None,48578.0,27.17
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.9,0.3,None,44022.0,27.375
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.0,0.3,None,41528.0,27.235
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.5,0.3,None,38308.0,27.946
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.0,0.3,None,36975.0,27.482
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.5,0.3,None,33636.0,28.795
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.5,0.4,None,43098.0,30.697
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.6,0.4,None,40096.0,30.274
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.7,0.4,None,36519.0,29.893
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.8,0.4,None,36498.0,29.506
brazil58,Standard ACO,5,2000,1_over_distance,0.5,0.9,0.4,None,34043.0,30.026
brazil58,Standard ACO,5,2000,1_over_distance,0.5,1.0,0.4,None,32706.0,29.795
brazil58,Standard ACO,5,2000,1_over_distance,0.5,1.5,0.4,None,29671.0,29.666
brazil58,Standard ACO,5,2000,1_over_distance,0.5,2.0,0.4,None,27184.0,30.197
brazil58,Standard ACO,5,2000,1_over_distance,0.5,2.5,0.4,None,26717.0,26.411
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.5,0.4,None,40863.0,33.229
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.6,0.4,None,35806.0,30.95
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.7,0.4,None,36497.0,33.762
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.8,0.4,None,34951.0,34.585
brazil58,Standard ACO,5,2000,1_over_distance,0.6,0.9,0.4,None,33392.0,32.338
brazil58,Standard ACO,5,2000,1_over_distance,0.6,1.0,0.4,None,32374.0,32.04
brazil58,Standard ACO,5,2000,1_over_distance,0.6,1.5,0.4,None,27943.0,37.068
brazil58,Standard ACO,5,2000,1_over_distance,0.6,2.0,0.4,None,26676.0,32.43
brazil58,Standard ACO,5,2000,1_over_distance,0.6,2.5,0.4,None,27829.0,35.031
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.5,0.4,None,39415.0,34.445
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.6,0.4,None,36965.0,34.206
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.7,0.4,None,35174.0,33.194
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.8,0.4,None,32208.0,33.273
brazil58,Standard ACO,5,2000,1_over_distance,0.7,0.9,0.4,None,30900.0,34.022
brazil58,Standard ACO,5,2000,1_over_distance,0.7,1.0,0.4,None,28999.0,29.591
brazil58,Standard ACO,5,2000,1_over_distance,0.7,1.5,0.4,None,27109.0,36.386
brazil58,Standard ACO,5,2000,1_over_distance,0.7,2.0,0.4,None,28136.0,33.079
brazil58,Standard ACO,5,2000,1_over_distance,0.7,2.5,0.4,None,27370.0,33.917
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.5,0.4,None,33370.0,35.504
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.6,0.4,None,32882.0,35.253
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.7,0.4,None,29096.0,30.027
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.8,0.4,None,32042.0,33.371
brazil58,Standard ACO,5,2000,1_over_distance,0.8,0.9,0.4,None,30777.0,31.786
brazil58,Standard ACO,5,2000,1_over_distance,0.8,1.0,0.4,None,30466.0,32.747
brazil58,Standard ACO,5,2000,1_over_distance,0.8,1.5,0.4,None,27310.0,34.428
brazil58,Standard ACO,5,2000,1_over_distance,0.8,2.0,0.4,None,29207.0,33.578
brazil58,Standard ACO,5,2000,1_over_distance,0.8,2.5,0.4,None,28304.0,29.241
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.5,0.4,None,31758.0,31.542
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.6,0.4,None,32942.0,41.087
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.7,0.4,None,34449.0,41.975
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.8,0.4,None,30954.0,41.996
brazil58,Standard ACO,5,2000,1_over_distance,0.9,0.9,0.4,None,32328.0,43.611
brazil58,Standard ACO,5,2000,1_over_distance,0.9,1.0,0.4,None,32715.0,41.964
brazil58,Standard ACO,5,2000,1_over_distance,0.9,1.5,0.4,None,28582.0,41.097
brazil58,Standard ACO,5,2000,1_over_distance,0.9,2.0,0.4,None,28973.0,39.619
brazil58,Standard ACO,5,2000,1_over_distance,0.9,2.5,0.4,None,28389.0,39.741
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.5,0.4,None,37346.0,39.07
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.6,0.4,None,36757.0,36.913
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.7,0.4,None,33164.0,42.311
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.8,0.4,None,34843.0,47.345
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.9,0.4,None,32597.0,40.677
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.0,0.4,None,31756.0,36.981
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.5,0.4,None,30584.0,45.695
