input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
burma14,Standard ACO,50,200,1_over_distance,1.0,1.0,0.2,None,3346.0,3.301
burma14,Standard ACO,50,200,1_over_distance,1.0,1.5,0.2,None,3346.0,3.282
burma14,Standard ACO,50,200,1_over_distance,1.0,2.0,0.2,None,3346.0,3.366
burma14,Standard ACO,50,200,1_over_distance,1.0,2.5,0.2,None,3381.0,3.282
burma14,Standard ACO,50,200,1_over_distance,1.0,3.0,0.2,None,3381.0,3.283
burma14,Standard ACO,50,200,1_over_distance,1.0,3.5,0.2,None,3369.0,3.218
burma14,Standard ACO,50,200,1_over_distance,1.0,4.0,0.2,None,3381.0,3.311
burma14,Standard ACO,50,200,1_over_distance,1.5,1.0,0.2,None,3513.0,3.353
burma14,Standard ACO,50,200,1_over_distance,1.5,1.5,0.2,None,3535.0,3.332
burma14,Standard ACO,50,200,1_over_distance,1.5,2.0,0.2,None,3381.0,3.317
burma14,Standard ACO,50,200,1_over_distance,1.5,2.5,0.2,None,3381.0,3.35
burma14,Standard ACO,50,200,1_over_distance,1.5,3.0,0.2,None,3529.0,3.366
burma14,Standard ACO,50,200,1_over_distance,1.5,3.5,0.2,None,3404.0,3.333
burma14,Standard ACO,50,200,1_over_distance,1.5,4.0,0.2,None,3404.0,3.334
burma14,Standard ACO,50,200,1_over_distance,2.0,1.0,0.2,None,3369.0,3.382
burma14,Standard ACO,50,200,1_over_distance,2.0,1.5,0.2,None,3607.0,3.393
burma14,Standard ACO,50,200,1_over_distance,2.0,2.0,0.2,None,3416.0,3.307
burma14,Standard ACO,50,200,1_over_distance,2.0,2.5,0.2,None,3639.0,3.349
burma14,Standard ACO,50,200,1_over_distance,2.0,3.0,0.2,None,3416.0,3.383
burma14,Standard ACO,50,200,1_over_distance,2.0,3.5,0.2,None,3413.0,3.35
burma14,Standard ACO,50,200,1_over_distance,2.0,4.0,0.2,None,3381.0,3.349
burma14,Standard ACO,50,200,1_over_distance,2.5,1.0,0.2,None,3877.0,3.316
burma14,Standard ACO,50,200,1_over_distance,2.5,1.5,0.2,None,3542.0,3.332
